"","feature1","feature2","feature3","feature4"
"8615",1,-3,4,0
"8616",1,-3,7,3
"8617",6,6,2,-2
"8618",1,-3,3,-1
"8619",0,0,4,0
"8620",3,-1,3,-1
"8621",3,-1,1,-3
"8622",1,-3,7,3
"8623",3,-1,1,-3
"8624",2,-2,2,-2
"8625",2,-2,2,-2
"8626",0,0,3,-1
"8627",3,-1,2,-2
"8628",1,-3,4,0
"8629",2,-2,4,0
"8630",3,-1,1,-3
"8631",2,-2,4,0
"8632",5,2,7,3
"8633",4,1,7,3
"8634",0,0,7,3
"8635",3,-1,6,2
"8636",3,-1,1,-3
"8637",0,0,7,3
"8638",2,-2,3,-1
"8639",5,2,2,-2
"8640",5,2,4,0
"8641",5,2,6,2
"8642",6,6,3,-1
"8643",2,-2,7,3
"8644",3,-1,3,-1
"8645",5,2,2,-2
"8646",5,2,4,0
"8647",5,2,2,-2
"8648",1,-3,7,3
"8649",5,2,7,3
"8650",2,-2,1,-3
"8651",6,6,2,-2
"8652",2,-2,3,-1
"8653",3,-1,7,3
"8654",2,-2,7,3
"8655",3,-1,3,-1
"8656",0,0,2,-2
"8657",2,-2,4,0
"8658",2,-2,1,-3
"8659",1,-3,4,0
"8660",5,2,1,-3
"8661",5,2,4,0
"8662",3,-1,1,-3
"8663",3,-1,2,-2
"8664",3,-1,1,-3
"8665",1,-3,7,3
"8666",5,2,2,-2
"8667",2,-2,6,2
"8668",3,-1,3,-1
"8669",1,-3,6,2
"8670",2,-2,3,-1
"8671",4,1,2,-2
"8672",5,2,1,-3
"8673",2,-2,2,-2
"8674",2,-2,7,3
"8675",2,-2,4,0
"8676",1,-3,6,2
"8677",3,-1,4,0
"8678",2,-2,3,-1
"8679",3,-1,4,0
"8680",6,6,6,2
"8681",5,2,4,0
"8682",6,6,4,0
"8683",2,-2,4,0
"8684",1,-3,2,-2
"8685",2,-2,4,0
"8686",1,-3,7,3
"8687",5,2,4,0
"8688",0,0,4,0
"8689",1,-3,7,3
"8690",6,6,4,0
"8691",3,-1,5,1
"8692",2,-2,7,3
"8693",5,2,7,3
"8694",3,-1,7,3
"8695",2,-2,4,0
"8696",1,-3,4,0
"8697",0,0,1,-3
"8698",1,-3,1,-3
"8699",0,0,7,3
"8700",0,0,3,-1
"8701",1,-3,2,-2
"8702",2,-2,6,2
"8703",1,-3,7,3
"8704",0,0,4,0
"8705",1,-3,1,-3
"8706",0,0,4,0
"8707",3,-1,3,-1
"8708",0,0,4,0
"8709",3,-1,6,2
"8710",2,-2,6,2
"8711",1,-3,3,-1
"8712",1,-3,7,3
"8713",1,-3,7,3
"8714",1,-3,4,0
"8715",3,-1,7,3
"8716",3,-1,3,-1
"8717",1,-3,2,-2
"8718",2,-2,4,0
"8719",5,2,2,-2
"8720",3,-1,2,-2
"8721",0,0,7,3
"8722",0,0,2,-2
"8723",5,2,1,-3
"8724",1,-3,5,1
"8725",5,2,7,3
"8726",3,-1,3,-1
"8727",3,-1,3,-1
"8728",4,1,4,0
"8729",2,-2,3,-1
"8730",3,-1,3,-1
"8731",3,-1,6,2
"8732",0,0,3,-1
"8733",3,-1,4,0
"8734",2,-2,4,0
"8735",4,1,3,-1
"8736",3,-1,2,-2
"8737",5,2,7,3
"8738",3,-1,7,3
"8739",2,-2,4,0
"8740",1,-3,1,-3
"8741",5,2,2,-2
"8742",4,1,3,-1
"8743",3,-1,4,0
"8744",3,-1,1,-3
"8745",3,-1,2,-2
"8746",3,-1,3,-1
"8747",2,-2,6,2
"8748",5,2,4,0
"8749",3,-1,6,2
"8750",0,0,2,-2
"8751",3,-1,3,-1
"8752",6,6,3,-1
"8753",2,-2,3,-1
"8754",5,2,7,3
"8755",2,-2,2,-2
"8756",5,2,4,0
"8757",0,0,1,-3
"8758",1,-3,1,-3
"8759",3,-1,1,-3
"8760",0,0,1,-3
"8761",0,0,7,3
"8762",4,1,7,3
"8763",3,-1,3,-1
"8764",3,-1,2,-2
"8765",0,0,2,-2
"8766",4,1,5,1
"8767",5,2,1,-3
"8768",2,-2,2,-2
"8769",2,-2,7,3
"8770",5,2,1,-3
"8771",3,-1,4,0
"8772",0,0,4,0
"8773",0,0,1,-3
"8774",3,-1,4,0
"8775",2,-2,2,-2
"8776",5,2,3,-1
"8777",2,-2,4,0
"8778",2,-2,1,-3
"8779",0,0,3,-1
"8780",0,0,1,-3
"8781",2,-2,7,3
"8782",3,-1,2,-2
"8783",3,-1,1,-3
"8784",0,0,2,-2
"8785",3,-1,3,-1
"8786",3,-1,6,2
"8787",4,1,2,-2
"8788",0,0,1,-3
"8789",2,-2,4,0
"8790",5,2,7,3
"8791",1,-3,3,-1
"8792",2,-2,3,-1
"8793",2,-2,7,3
"8794",3,-1,4,0
"8795",1,-3,7,3
"8796",4,1,7,3
"8797",5,2,1,-3
"8798",2,-2,7,3
"8799",5,2,5,1
"8800",5,2,7,3
"8801",3,-1,7,3
"8802",2,-2,2,-2
"8803",1,-3,6,2
"8804",2,-2,1,-3
"8805",2,-2,7,3
"8806",5,2,4,0
"8807",0,0,6,2
"8808",5,2,1,-3
"8809",3,-1,7,3
"8810",2,-2,2,-2
"8811",3,-1,3,-1
"8812",2,-2,1,-3
"8813",3,-1,2,-2
"8814",0,0,3,-1
"8815",3,-1,1,-3
"8816",1,-3,4,0
"8817",4,1,2,-2
"8818",3,-1,1,-3
"8819",5,2,3,-1
"8820",0,0,4,0
"8821",5,2,2,-2
"8822",3,-1,5,1
"8823",0,0,1,-3
"8824",1,-3,1,-3
"8825",2,-2,1,-3
"8826",2,-2,4,0
"8827",2,-2,4,0
"8828",2,-2,7,3
"8829",3,-1,5,1
"8830",2,-2,3,-1
"8831",2,-2,7,3
"8832",6,6,6,2
"8833",2,-2,7,3
"8834",3,-1,3,-1
"8835",3,-1,2,-2
"8836",0,0,2,-2
"8837",1,-3,6,2
"8838",1,-3,7,3
"8839",5,2,4,0
"8840",3,-1,2,-2
"8841",0,0,7,3
"8842",3,-1,2,-2
"8843",3,-1,4,0
"8844",2,-2,1,-3
"8845",5,2,1,-3
"8846",0,0,1,-3
"8847",5,2,7,3
"8848",2,-2,7,3
"8849",1,-3,4,0
"8850",4,1,2,-2
"8851",1,-3,5,1
"8852",6,6,3,-1
"8853",5,2,1,-3
"8854",3,-1,4,0
"8855",1,-3,1,-3
"8856",3,-1,5,1
"8857",0,0,1,-3
"8858",1,-3,7,3
"8859",6,6,1,-3
"8860",2,-2,2,-2
"8861",6,6,6,2
"8862",3,-1,1,-3
"8863",3,-1,2,-2
"8864",2,-2,1,-3
"8865",0,0,2,-2
"8866",5,2,3,-1
"8867",0,0,7,3
"8868",1,-3,7,3
"8869",1,-3,7,3
"8870",5,2,5,1
"8871",5,2,4,0
"8872",5,2,1,-3
"8873",3,-1,2,-2
"8874",2,-2,6,2
"8875",0,0,4,0
"8876",0,0,4,0
"8877",5,2,2,-2
"8878",5,2,3,-1
"8879",0,0,5,1
"8880",3,-1,2,-2
"8881",2,-2,7,3
"8882",3,-1,5,1
"8883",0,0,5,1
"8884",0,0,7,3
"8885",3,-1,3,-1
"8886",6,6,1,-3
"8887",3,-1,7,3
"8888",2,-2,3,-1
"8889",3,-1,6,2
"8890",2,-2,7,3
"8891",0,0,5,1
"8892",1,-3,4,0
"8893",0,0,7,3
"8894",1,-3,6,2
"8895",4,1,7,3
"8896",3,-1,2,-2
"8897",1,-3,4,0
"8898",5,2,1,-3
"8899",6,6,4,0
"8900",0,0,1,-3
"8901",3,-1,2,-2
"8902",5,2,7,3
"8903",2,-2,3,-1
"8904",1,-3,2,-2
"8905",1,-3,7,3
"8906",3,-1,3,-1
"8907",6,6,3,-1
"8908",0,0,5,1
"8909",0,0,7,3
"8910",1,-3,7,3
"8911",1,-3,7,3
"8912",2,-2,3,-1
"8913",0,0,7,3
"8914",2,-2,7,3
"8915",3,-1,2,-2
"8916",1,-3,4,0
"8917",3,-1,4,0
"8918",2,-2,1,-3
"8919",0,0,7,3
"8920",3,-1,1,-3
"8921",5,2,7,3
"8922",1,-3,3,-1
"8923",5,2,7,3
"8924",0,0,6,2
"8925",1,-3,7,3
"8926",4,1,1,-3
"8927",3,-1,4,0
"8928",2,-2,7,3
"8929",1,-3,6,2
"8930",5,2,3,-1
"8931",3,-1,1,-3
"8932",3,-1,6,2
"8933",1,-3,2,-2
"8934",0,0,2,-2
"8935",4,1,3,-1
"8936",5,2,2,-2
"8937",3,-1,4,0
"8938",4,1,2,-2
"8939",2,-2,2,-2
"8940",1,-3,7,3
"8941",0,0,5,1
"8942",0,0,1,-3
"8943",0,0,3,-1
"8944",3,-1,2,-2
"8945",6,6,3,-1
"8946",6,6,3,-1
"8947",0,0,2,-2
"8948",3,-1,7,3
"8949",1,-3,2,-2
"8950",4,1,4,0
"8951",4,1,4,0
"8952",2,-2,6,2
"8953",4,1,4,0
"8954",2,-2,5,1
"8955",3,-1,6,2
"8956",0,0,7,3
"8957",4,1,1,-3
"8958",3,-1,3,-1
"8959",2,-2,3,-1
"8960",4,1,4,0
"8961",2,-2,1,-3
"8962",2,-2,5,1
"8963",5,2,5,1
"8964",3,-1,6,2
"8965",2,-2,4,0
"8966",4,1,2,-2
"8967",2,-2,7,3
"8968",6,6,7,3
"8969",0,0,5,1
"8970",6,6,7,3
"8971",2,-2,2,-2
"8972",5,2,4,0
"8973",0,0,7,3
"8974",3,-1,3,-1
"8975",0,0,6,2
"8976",0,0,3,-1
"8977",0,0,7,3
"8978",3,-1,3,-1
"8979",1,-3,1,-3
"8980",6,6,5,1
"8981",0,0,1,-3
"8982",2,-2,3,-1
"8983",0,0,3,-1
"8984",0,0,7,3
"8985",4,1,3,-1
"8986",5,2,7,3
"8987",5,2,1,-3
"8988",0,0,4,0
"8989",0,0,7,3
"8990",1,-3,7,3
"8991",2,-2,1,-3
"8992",1,-3,7,3
"8993",0,0,3,-1
"8994",3,-1,4,0
"8995",2,-2,7,3
"8996",2,-2,4,0
"8997",2,-2,1,-3
"8998",1,-3,2,-2
"8999",5,2,1,-3
"9000",5,2,2,-2
"9001",4,1,2,-2
"9002",2,-2,3,-1
"9003",3,-1,3,-1
"9004",5,2,1,-3
"9005",3,-1,5,1
"9006",5,2,2,-2
"9007",1,-3,3,-1
"9008",3,-1,6,2
"9009",0,0,2,-2
"9010",2,-2,2,-2
"9011",2,-2,7,3
"9012",1,-3,1,-3
"9013",5,2,7,3
"9014",5,2,3,-1
"9015",2,-2,5,1
"9016",1,-3,4,0
"9017",2,-2,7,3
"9018",3,-1,1,-3
"9019",3,-1,4,0
"9020",5,2,3,-1
"9021",1,-3,4,0
"9022",2,-2,2,-2
"9023",0,0,3,-1
"9024",2,-2,2,-2
"9025",2,-2,3,-1
"9026",2,-2,1,-3
"9027",3,-1,3,-1
"9028",5,2,7,3
"9029",3,-1,3,-1
"9030",3,-1,3,-1
"9031",2,-2,1,-3
"9032",1,-3,1,-3
"9033",6,6,7,3
"9034",3,-1,5,1
"9035",2,-2,5,1
"9036",5,2,2,-2
"9037",1,-3,6,2
"9038",1,-3,4,0
"9039",2,-2,2,-2
"9040",0,0,6,2
"9041",5,2,4,0
"9042",3,-1,3,-1
"9043",1,-3,7,3
"9044",5,2,4,0
"9045",0,0,3,-1
"9046",5,2,4,0
"9047",4,1,1,-3
"9048",2,-2,4,0
"9049",3,-1,1,-3
"9050",6,6,3,-1
"9051",0,0,6,2
"9052",2,-2,1,-3
"9053",1,-3,7,3
"9054",2,-2,4,0
"9055",2,-2,2,-2
"9056",6,6,4,0
"9057",3,-1,1,-3
"9058",5,2,7,3
"9059",0,0,7,3
"9060",5,2,4,0
"9061",1,-3,6,2
"9062",1,-3,4,0
"9063",0,0,1,-3
"9064",4,1,3,-1
"9065",3,-1,3,-1
"9066",5,2,2,-2
"9067",6,6,7,3
"9068",6,6,1,-3
"9069",3,-1,1,-3
"9070",4,1,4,0
"9071",1,-3,3,-1
"9072",0,0,4,0
"9073",1,-3,2,-2
"9074",5,2,4,0
"9075",1,-3,1,-3
"9076",1,-3,7,3
"9077",1,-3,4,0
"9078",3,-1,2,-2
"9079",2,-2,4,0
"9080",6,6,3,-1
"9081",5,2,4,0
"9082",2,-2,3,-1
"9083",0,0,3,-1
"9084",5,2,7,3
"9085",2,-2,3,-1
"9086",2,-2,5,1
"9087",6,6,1,-3
"9088",3,-1,5,1
"9089",1,-3,6,2
"9090",2,-2,7,3
"9091",1,-3,7,3
"9092",3,-1,7,3
"9093",0,0,7,3
"9094",3,-1,2,-2
"9095",3,-1,4,0
"9096",3,-1,4,0
"9097",5,2,1,-3
"9098",4,1,1,-3
"9099",1,-3,3,-1
"9100",2,-2,3,-1
"9101",3,-1,2,-2
"9102",0,0,1,-3
"9103",1,-3,3,-1
"9104",5,2,5,1
"9105",3,-1,2,-2
"9106",3,-1,2,-2
"9107",5,2,1,-3
"9108",3,-1,4,0
"9109",1,-3,7,3
"9110",3,-1,1,-3
"9111",1,-3,1,-3
"9112",6,6,5,1
"9113",0,0,2,-2
"9114",3,-1,4,0
"9115",3,-1,4,0
"9116",2,-2,2,-2
"9117",2,-2,3,-1
"9118",3,-1,2,-2
"9119",2,-2,1,-3
"9120",6,6,4,0
"9121",1,-3,6,2
"9122",1,-3,3,-1
"9123",3,-1,2,-2
"9124",5,2,7,3
"9125",2,-2,3,-1
"9126",1,-3,3,-1
"9127",2,-2,4,0
"9128",5,2,4,0
"9129",0,0,1,-3
"9130",3,-1,1,-3
"9131",3,-1,3,-1
"9132",3,-1,6,2
"9133",3,-1,2,-2
"9134",3,-1,1,-3
"9135",1,-3,6,2
"9136",6,6,2,-2
"9137",1,-3,1,-3
"9138",5,2,7,3
"9139",2,-2,4,0
"9140",3,-1,1,-3
"9141",1,-3,2,-2
"9142",1,-3,5,1
"9143",4,1,1,-3
"9144",2,-2,2,-2
"9145",5,2,7,3
"9146",5,2,7,3
"9147",6,6,2,-2
"9148",1,-3,4,0
"9149",3,-1,3,-1
"9150",0,0,2,-2
"9151",2,-2,1,-3
"9152",5,2,3,-1
"9153",5,2,4,0
"9154",5,2,2,-2
"9155",1,-3,4,0
"9156",4,1,1,-3
"9157",1,-3,7,3
"9158",2,-2,2,-2
"9159",1,-3,2,-2
"9160",0,0,3,-1
"9161",1,-3,3,-1
"9162",1,-3,7,3
"9163",5,2,3,-1
"9164",5,2,3,-1
"9165",3,-1,4,0
"9166",1,-3,4,0
"9167",3,-1,7,3
"9168",3,-1,7,3
"9169",2,-2,2,-2
"9170",2,-2,3,-1
"9171",5,2,3,-1
"9172",0,0,5,1
"9173",2,-2,4,0
"9174",3,-1,4,0
"9175",3,-1,1,-3
"9176",1,-3,2,-2
"9177",5,2,2,-2
"9178",5,2,1,-3
"9179",3,-1,3,-1
"9180",0,0,6,2
"9181",1,-3,2,-2
"9182",5,2,2,-2
"9183",3,-1,3,-1
"9184",2,-2,7,3
"9185",0,0,6,2
"9186",1,-3,1,-3
"9187",0,0,1,-3
"9188",3,-1,2,-2
"9189",3,-1,3,-1
"9190",3,-1,3,-1
"9191",0,0,7,3
"9192",3,-1,7,3
"9193",2,-2,4,0
"9194",5,2,6,2
"9195",1,-3,3,-1
"9196",5,2,4,0
"9197",0,0,4,0
"9198",3,-1,4,0
"9199",2,-2,7,3
"9200",2,-2,1,-3
"9201",2,-2,6,2
"9202",6,6,5,1
"9203",0,0,1,-3
"9204",2,-2,3,-1
"9205",1,-3,1,-3
"9206",3,-1,1,-3
"9207",1,-3,4,0
"9208",3,-1,2,-2
"9209",3,-1,7,3
"9210",3,-1,7,3
"9211",5,2,2,-2
"9212",0,0,6,2
"9213",6,6,3,-1
"9214",2,-2,7,3
"9215",1,-3,4,0
"9216",5,2,1,-3
"9217",1,-3,4,0
"9218",3,-1,1,-3
"9219",0,0,7,3
"9220",5,2,7,3
"9221",3,-1,4,0
"9222",3,-1,4,0
"9223",5,2,7,3
"9224",2,-2,4,0
"9225",0,0,1,-3
"9226",5,2,2,-2
"9227",5,2,7,3
"9228",4,1,4,0
"9229",5,2,7,3
"9230",0,0,7,3
"9231",5,2,1,-3
"9232",5,2,6,2
"9233",5,2,7,3
"9234",1,-3,2,-2
"9235",3,-1,4,0
"9236",5,2,4,0
"9237",3,-1,2,-2
"9238",3,-1,7,3
"9239",1,-3,3,-1
"9240",5,2,4,0
"9241",0,0,1,-3
"9242",2,-2,1,-3
"9243",2,-2,1,-3
"9244",3,-1,4,0
"9245",2,-2,2,-2
"9246",1,-3,3,-1
"9247",0,0,6,2
"9248",5,2,2,-2
"9249",2,-2,1,-3
"9250",0,0,7,3
"9251",2,-2,2,-2
"9252",2,-2,4,0
"9253",3,-1,4,0
"9254",6,6,7,3
"9255",1,-3,2,-2
"9256",0,0,5,1
"9257",4,1,4,0
"9258",0,0,2,-2
"9259",4,1,1,-3
"9260",5,2,2,-2
"9261",0,0,6,2
"9262",5,2,1,-3
"9263",3,-1,4,0
"9264",1,-3,7,3
"9265",2,-2,4,0
"9266",2,-2,3,-1
"9267",5,2,6,2
"9268",3,-1,6,2
"9269",4,1,4,0
"9270",3,-1,2,-2
"9271",3,-1,5,1
"9272",3,-1,2,-2
"9273",5,2,7,3
"9274",5,2,1,-3
"9275",2,-2,3,-1
"9276",2,-2,1,-3
"9277",3,-1,1,-3
"9278",3,-1,7,3
"9279",2,-2,1,-3
"9280",1,-3,5,1
"9281",3,-1,4,0
"9282",5,2,4,0
"9283",0,0,1,-3
"9284",4,1,6,2
"9285",1,-3,7,3
"9286",3,-1,7,3
"9287",2,-2,6,2
"9288",1,-3,2,-2
"9289",6,6,1,-3
"9290",6,6,1,-3
"9291",2,-2,3,-1
"9292",1,-3,5,1
"9293",1,-3,4,0
"9294",3,-1,3,-1
"9295",5,2,2,-2
"9296",5,2,1,-3
"9297",3,-1,6,2
"9298",3,-1,7,3
"9299",3,-1,2,-2
"9300",3,-1,2,-2
"9301",5,2,3,-1
"9302",5,2,2,-2
"9303",1,-3,2,-2
"9304",5,2,7,3
"9305",2,-2,3,-1
"9306",2,-2,2,-2
"9307",6,6,6,2
"9308",3,-1,7,3
"9309",2,-2,3,-1
"9310",5,2,1,-3
"9311",1,-3,3,-1
"9312",1,-3,6,2
"9313",5,2,7,3
"9314",0,0,5,1
"9315",5,2,3,-1
"9316",0,0,1,-3
"9317",3,-1,1,-3
"9318",1,-3,4,0
"9319",0,0,1,-3
"9320",3,-1,5,1
"9321",3,-1,3,-1
"9322",1,-3,5,1
"9323",3,-1,1,-3
"9324",1,-3,4,0
"9325",1,-3,1,-3
"9326",1,-3,7,3
"9327",3,-1,6,2
"9328",1,-3,4,0
"9329",3,-1,5,1
"9330",0,0,1,-3
"9331",2,-2,2,-2
"9332",3,-1,3,-1
"9333",3,-1,4,0
"9334",2,-2,6,2
"9335",1,-3,2,-2
"9336",2,-2,1,-3
"9337",3,-1,1,-3
"9338",1,-3,1,-3
"9339",4,1,1,-3
"9340",3,-1,3,-1
"9341",1,-3,1,-3
"9342",3,-1,4,0
"9343",5,2,7,3
"9344",3,-1,7,3
"9345",3,-1,6,2
"9346",0,0,2,-2
"9347",3,-1,1,-3
"9348",3,-1,3,-1
"9349",5,2,6,2
"9350",5,2,1,-3
"9351",5,2,2,-2
"9352",1,-3,2,-2
"9353",3,-1,4,0
"9354",3,-1,5,1
"9355",0,0,3,-1
"9356",6,6,4,0
"9357",2,-2,2,-2
"9358",5,2,5,1
"9359",0,0,6,2
"9360",5,2,1,-3
"9361",1,-3,5,1
"9362",0,0,3,-1
"9363",1,-3,7,3
"9364",0,0,7,3
"9365",0,0,3,-1
"9366",0,0,1,-3
"9367",4,1,3,-1
"9368",5,2,4,0
"9369",0,0,3,-1
"9370",0,0,2,-2
"9371",1,-3,2,-2
"9372",5,2,2,-2
"9373",1,-3,2,-2
"9374",5,2,3,-1
"9375",2,-2,7,3
"9376",1,-3,1,-3
"9377",3,-1,4,0
"9378",1,-3,7,3
"9379",3,-1,4,0
"9380",5,2,4,0
"9381",1,-3,2,-2
"9382",3,-1,4,0
"9383",5,2,2,-2
"9384",4,1,3,-1
"9385",5,2,4,0
"9386",6,6,7,3
"9387",5,2,3,-1
"9388",1,-3,3,-1
"9389",5,2,7,3
"9390",2,-2,2,-2
"9391",0,0,2,-2
"9392",0,0,6,2
"9393",0,0,6,2
"9394",5,2,2,-2
"9395",0,0,7,3
"9396",0,0,5,1
"9397",4,1,5,1
"9398",2,-2,7,3
"9399",1,-3,2,-2
"9400",2,-2,6,2
"9401",5,2,3,-1
"9402",0,0,1,-3
"9403",1,-3,2,-2
"9404",1,-3,3,-1
"9405",4,1,2,-2
"9406",1,-3,5,1
"9407",3,-1,2,-2
"9408",2,-2,1,-3
"9409",2,-2,5,1
"9410",3,-1,7,3
"9411",4,1,7,3
"9412",5,2,2,-2
"9413",3,-1,4,0
"9414",1,-3,5,1
"9415",2,-2,4,0
"9416",0,0,6,2
"9417",3,-1,6,2
"9418",5,2,7,3
"9419",3,-1,6,2
"9420",1,-3,3,-1
"9421",0,0,7,3
"9422",2,-2,7,3
"9423",2,-2,4,0
"9424",2,-2,4,0
"9425",0,0,1,-3
"9426",5,2,1,-3
"9427",1,-3,4,0
"9428",3,-1,4,0
"9429",5,2,1,-3
"9430",3,-1,2,-2
"9431",0,0,2,-2
"9432",6,6,7,3
"9433",2,-2,4,0
"9434",0,0,1,-3
"9435",1,-3,2,-2
"9436",3,-1,3,-1
"9437",2,-2,2,-2
"9438",3,-1,2,-2
"9439",3,-1,7,3
"9440",6,6,7,3
"9441",1,-3,2,-2
"9442",3,-1,3,-1
"9443",0,0,5,1
"9444",5,2,7,3
"9445",4,1,6,2
"9446",4,1,2,-2
"9447",1,-3,7,3
"9448",3,-1,4,0
"9449",1,-3,1,-3
"9450",5,2,2,-2
"9451",1,-3,6,2
"9452",4,1,3,-1
"9453",0,0,3,-1
"9454",3,-1,3,-1
"9455",1,-3,4,0
"9456",2,-2,7,3
"9457",3,-1,3,-1
"9458",0,0,1,-3
"9459",5,2,7,3
"9460",5,2,2,-2
"9461",3,-1,4,0
"9462",1,-3,1,-3
"9463",4,1,5,1
"9464",3,-1,4,0
"9465",0,0,2,-2
"9466",4,1,2,-2
"9467",3,-1,7,3
"9468",1,-3,2,-2
"9469",5,2,4,0
"9470",3,-1,7,3
"9471",5,2,4,0
"9472",2,-2,2,-2
"9473",3,-1,3,-1
"9474",0,0,5,1
"9475",3,-1,3,-1
"9476",5,2,4,0
"9477",1,-3,7,3
"9478",6,6,3,-1
"9479",1,-3,2,-2
"9480",5,2,3,-1
"9481",3,-1,4,0
"9482",3,-1,7,3
"9483",2,-2,1,-3
"9484",5,2,3,-1
"9485",2,-2,4,0
"9486",2,-2,6,2
"9487",2,-2,4,0
"9488",5,2,2,-2
"9489",1,-3,2,-2
"9490",3,-1,3,-1
"9491",3,-1,4,0
"9492",4,1,5,1
"9493",3,-1,7,3
"9494",0,0,7,3
"9495",5,2,7,3
"9496",3,-1,2,-2
"9497",1,-3,3,-1
"9498",3,-1,3,-1
"9499",3,-1,4,0
"9500",4,1,2,-2
"9501",0,0,2,-2
"9502",2,-2,2,-2
"9503",3,-1,1,-3
"9504",4,1,5,1
"9505",2,-2,1,-3
"9506",0,0,4,0
"9507",2,-2,2,-2
"9508",5,2,2,-2
"9509",3,-1,2,-2
"9510",5,2,4,0
"9511",4,1,1,-3
"9512",4,1,2,-2
"9513",1,-3,4,0
"9514",1,-3,1,-3
"9515",3,-1,1,-3
"9516",3,-1,3,-1
"9517",5,2,1,-3
"9518",3,-1,1,-3
"9519",3,-1,7,3
"9520",1,-3,4,0
"9521",3,-1,7,3
"9522",2,-2,3,-1
"9523",2,-2,1,-3
"9524",5,2,6,2
"9525",3,-1,4,0
"9526",5,2,1,-3
"9527",1,-3,1,-3
"9528",5,2,2,-2
"9529",3,-1,6,2
"9530",0,0,1,-3
"9531",3,-1,4,0
"9532",1,-3,3,-1
"9533",0,0,5,1
"9534",3,-1,1,-3
"9535",2,-2,1,-3
"9536",2,-2,6,2
"9537",1,-3,4,0
"9538",3,-1,5,1
"9539",0,0,3,-1
"9540",2,-2,7,3
"9541",2,-2,2,-2
"9542",5,2,6,2
"9543",0,0,4,0
"9544",0,0,7,3
"9545",2,-2,6,2
"9546",3,-1,4,0
"9547",3,-1,2,-2
"9548",3,-1,2,-2
"9549",0,0,7,3
"9550",3,-1,4,0
"9551",5,2,7,3
"9552",2,-2,3,-1
"9553",3,-1,6,2
"9554",2,-2,2,-2
"9555",3,-1,2,-2
"9556",0,0,7,3
"9557",1,-3,5,1
"9558",3,-1,3,-1
"9559",3,-1,4,0
"9560",5,2,3,-1
"9561",1,-3,6,2
"9562",5,2,3,-1
"9563",3,-1,7,3
"9564",2,-2,3,-1
"9565",2,-2,7,3
"9566",2,-2,4,0
"9567",3,-1,4,0
"9568",6,6,2,-2
"9569",4,1,1,-3
"9570",0,0,3,-1
"9571",0,0,3,-1
"9572",1,-3,1,-3
"9573",6,6,2,-2
"9574",4,1,2,-2
"9575",3,-1,3,-1
"9576",3,-1,7,3
"9577",3,-1,3,-1
"9578",3,-1,4,0
"9579",0,0,7,3
"9580",1,-3,7,3
"9581",3,-1,7,3
"9582",3,-1,1,-3
"9583",5,2,2,-2
"9584",2,-2,7,3
"9585",3,-1,5,1
"9586",2,-2,1,-3
"9587",3,-1,3,-1
"9588",5,2,4,0
"9589",2,-2,2,-2
"9590",0,0,4,0
"9591",2,-2,4,0
"9592",2,-2,1,-3
"9593",2,-2,4,0
"9594",5,2,4,0
"9595",0,0,3,-1
"9596",5,2,7,3
"9597",3,-1,2,-2
"9598",5,2,7,3
"9599",3,-1,4,0
"9600",3,-1,7,3
"9601",0,0,1,-3
"9602",1,-3,5,1
"9603",1,-3,4,0
"9604",4,1,4,0
"9605",0,0,3,-1
"9606",1,-3,4,0
"9607",3,-1,3,-1
"9608",3,-1,7,3
"9609",3,-1,7,3
"9610",2,-2,1,-3
"9611",6,6,2,-2
"9612",2,-2,2,-2
"9613",5,2,4,0
"9614",0,0,2,-2
"9615",2,-2,7,3
"9616",1,-3,4,0
"9617",3,-1,3,-1
"9618",2,-2,7,3
"9619",2,-2,2,-2
"9620",0,0,1,-3
"9621",1,-3,1,-3
"9622",5,2,7,3
"9623",0,0,2,-2
"9624",1,-3,7,3
"9625",3,-1,2,-2
"9626",5,2,2,-2
"9627",0,0,3,-1
"9628",4,1,7,3
"9629",3,-1,1,-3
"9630",6,6,1,-3
"9631",5,2,2,-2
"9632",3,-1,7,3
"9633",5,2,2,-2
"9634",3,-1,5,1
"9635",2,-2,1,-3
"9636",3,-1,4,0
"9637",2,-2,1,-3
"9638",0,0,7,3
"9639",2,-2,2,-2
"9640",2,-2,4,0
"9641",1,-3,1,-3
"9642",2,-2,5,1
"9643",2,-2,4,0
"9644",2,-2,2,-2
"9645",0,0,1,-3
"9646",5,2,2,-2
"9647",1,-3,4,0
"9648",1,-3,4,0
"9649",1,-3,3,-1
"9650",1,-3,2,-2
"9651",1,-3,2,-2
"9652",3,-1,6,2
"9653",6,6,3,-1
"9654",0,0,3,-1
"9655",2,-2,5,1
"9656",6,6,4,0
"9657",1,-3,4,0
"9658",5,2,6,2
"9659",3,-1,2,-2
"9660",5,2,4,0
"9661",1,-3,4,0
"9662",5,2,4,0
"9663",0,0,4,0
"9664",3,-1,7,3
"9665",3,-1,3,-1
"9666",1,-3,7,3
"9667",3,-1,5,1
"9668",5,2,2,-2
"9669",0,0,7,3
"9670",3,-1,1,-3
"9671",3,-1,2,-2
"9672",0,0,4,0
"9673",5,2,2,-2
"9674",4,1,2,-2
"9675",5,2,6,2
"9676",5,2,1,-3
"9677",3,-1,4,0
"9678",1,-3,4,0
"9679",5,2,1,-3
"9680",6,6,4,0
"9681",1,-3,1,-3
